,Time,Actual,Predict
334,2022-10-07 17:55:00,0.97898,0.97786
335,2022-10-07 18:00:00,0.97951,0.97789
336,2022-10-07 18:05:00,0.98026,0.97839
337,2022-10-07 18:10:00,0.9774,0.97786
338,2022-10-07 18:15:00,0.97601,0.97797
339,2022-10-07 18:20:00,0.97535,0.97761
340,2022-10-07 18:25:00,0.97375,0.97735
341,2022-10-07 18:30:00,0.97359,0.97793
342,2022-10-07 18:35:00,0.97501,0.97785
343,2022-10-07 18:40:00,0.97501,0.97777
344,2022-10-07 18:45:00,0.97518,0.97792
345,2022-10-07 18:50:00,0.97634,0.97796
346,2022-10-07 18:55:00,0.97647,0.97749
347,2022-10-07 19:00:00,0.9761,0.9779
348,2022-10-07 19:05:00,0.97618,0.97786
349,2022-10-07 19:10:00,0.97613,0.97757
350,2022-10-07 19:15:00,0.9758,0.97785
351,2022-10-07 19:20:00,0.97541,0.97775
352,2022-10-07 19:25:00,0.97466,0.97697
353,2022-10-07 19:30:00,0.97505,0.97663
354,2022-10-07 19:35:00,0.97488,0.9759
355,2022-10-07 19:40:00,0.97496,0.97586
356,2022-10-07 19:45:00,0.97464,0.97593
357,2022-10-07 19:50:00,0.97582,0.97578
358,2022-10-07 19:55:00,0.97651,0.97596
359,2022-10-07 20:00:00,0.97729,0.97615
360,2022-10-07 20:05:00,0.97676,0.97589
361,2022-10-07 20:10:00,0.97642,0.97553
362,2022-10-07 20:15:00,0.97631,0.97606
363,2022-10-07 20:20:00,0.97733,0.97635
364,2022-10-07 20:25:00,0.97884,0.97689
365,2022-10-07 20:30:00,0.97845,0.97637
366,2022-10-07 20:35:00,0.9786,0.97651
367,2022-10-07 20:40:00,0.97888,0.97613
368,2022-10-07 20:45:00,0.97794,0.97652
369,2022-10-07 20:50:00,0.97852,0.97635
370,2022-10-07 20:55:00,0.97735,0.97599
371,2022-10-07 21:00:00,0.97763,0.97569
372,2022-10-07 21:05:00,0.97875,0.9751
373,2022-10-07 21:10:00,0.97807,0.97598
374,2022-10-07 21:15:00,0.97794,0.976
375,2022-10-07 21:20:00,0.97843,0.9758
376,2022-10-07 21:25:00,0.97758,0.97541
377,2022-10-07 21:30:00,0.97754,0.9749
