,var1(t-1),var2(t-1),var3(t-1),var4(t-1),var5(t-1),var6(t-1),var7(t-1),var8(t-1),var9(t-1),var10(t-1),var11(t-1),var1(t)
6302,0.5369301,0.53591156,0.53437996,0.54559135,0.538744,0.53811735,0.4666514,0.47740704,0.5383034,0.5318794,0.526844,0.54072
6303,0.54072,0.5368576,0.53985786,0.5463486,0.53985405,0.6073477,0.46954906,0.47850296,0.53868866,0.5318794,0.5222111,0.54109764
6304,0.54109764,0.5404587,0.5385361,0.55031013,0.54058456,0.61404604,0.4720451,0.47993863,0.53868866,0.5318794,0.5224037,0.53977394
6305,0.53977394,0.5404587,0.5413685,0.5454025,0.5413513,0.5811246,0.4729682,0.4812939,0.5394573,0.5318794,0.52027893,0.54052925
6306,0.54052925,0.53837204,0.53759,0.5444603,0.5422325,0.59713215,0.47415027,0.48264277,0.5394573,0.5318794,0.51854134,0.5420437
6307,0.5420437,0.5400791,0.5423126,0.55031013,0.5432682,0.6295616,0.4760691,0.48415157,0.539938,0.5318794,0.52162933,0.54166603
6308,0.54166603,0.5417843,0.54042244,0.53860664,0.54346085,0.6177328,0.4771766,0.4856066,0.539938,0.5320759,0.5214386,0.5431824
6309,0.5431824,0.5414047,0.540802,0.551445,0.54388237,0.65295076,0.4790041,0.48717988,0.539938,0.5325699,0.5206661,0.53920364
6310,0.53920364,0.543869,0.54174614,0.5387955,0.543766,0.5306644,0.47741026,0.48808157,0.54032326,0.53434753,0.5220165,0.53730965
6311,0.53730965,0.53894234,0.53626823,0.5450249,0.5431156,0.48134017,0.47465742,0.4881865,0.54128075,0.53434753,0.52162933,0.5393944
6312,0.5393944,0.53704643,0.5374012,0.54427147,0.54257774,0.53976315,0.473898,0.48810038,0.54128075,0.53434753,0.52027893,0.544508
6313,0.544508,0.53894234,0.5421238,0.5478573,0.54315376,0.65565497,0.47689497,0.4887026,0.54128075,0.53434753,0.52124596,0.54072
6314,0.54072,0.5442486,0.5415573,0.5412502,0.54265594,0.55346507,0.47637823,0.48906866,0.54128075,0.53178024,0.51912117,0.5380688
6315,0.5380688,0.5393219,0.54174614,0.54615974,0.54242516,0.49196345,0.47393537,0.48881447,0.54128075,0.53168106,0.518734,0.5422344
6316,0.5422344,0.53780556,0.54042244,0.5480461,0.5434227,0.58450115,0.47492886,0.4888336,0.5411854,0.53168106,0.5092716,0.5363636
6317,0.5363636,0.5417843,0.5402355,0.5423832,0.54280853,0.46211988,0.47136298,0.4880504,0.5411854,0.53168106,0.5044441,0.5356064
6318,0.5356064,0.5362873,0.53777885,0.5423832,0.5410061,0.44821072,0.46795338,0.48666033,0.5411854,0.53168106,0.50405693,0.53863525
6319,0.53863525,0.535532,0.5389118,0.5431385,0.54058456,0.5182402,0.46743828,0.48543292,0.5411854,0.5329666,0.50675964,0.5356064
6320,0.5356064,0.53837204,0.5358906,0.5444603,0.54008484,0.45734543,0.46482497,0.4838658,0.54099274,0.5329666,0.5048275,0.5363636
6321,0.5363636,0.53515244,0.5340004,0.541626,0.53889656,0.4759481,0.46333078,0.4822775,0.54003334,0.5329666,0.50057983,0.5371208
6322,0.5371208,0.5361004,0.540802,0.54068375,0.53904915,0.4953754,0.46272877,0.4808721,0.5398426,0.5329666,0.49613762,0.5369301
6323,0.5369301,0.53704643,0.5372124,0.5465355,0.5393181,0.49067777,0.46215016,0.47961816,0.5398426,0.5329666,0.49594688,0.53920364
6324,0.53920364,0.5368576,0.53759,0.54691315,0.53943443,0.5535716,0.46337354,0.478889,0.53936195,0.5329666,0.49613762,0.5401497
6325,0.5401497,0.53894234,0.5385361,0.54559135,0.5403538,0.5785935,0.46503705,0.47867814,0.53936195,0.5329666,0.49633026,0.5401497
6326,0.5401497,0.5400791,0.53759,0.5463486,0.5411205,0.5785935,0.4663439,0.4788021,0.53936195,0.5329666,0.4955597,0.53920364
6327,0.53920364,0.5398884,0.53759,0.5474796,0.54154205,0.54515,0.46667397,0.4789752,0.53936195,0.5331631,0.4920826,0.5333328
6328,0.5333328,0.53894234,0.5372124,0.53804207,0.54081345,0.38382745,0.46268076,0.47821948,0.53936195,0.5331631,0.48667526,0.53541565
6329,0.53541565,0.5330658,0.5326786,0.541626,0.5400467,0.4529943,0.46108603,0.4772578,0.53868866,0.5324707,0.4872551,0.52954483
6330,0.52954483,0.53515244,0.53286743,0.5374737,0.5378971,0.33445388,0.45565012,0.4752712,0.53868866,0.5324707,0.48783302,0.53087044
6331,0.53087044,0.529089,0.5307903,0.5391731,0.5360184,0.3768316,0.45245788,0.47296706,0.5365772,0.5314827,0.4982624,0.5320072
6332,0.5320072,0.5304146,0.529089,0.5404949,0.53456116,0.41314363,0.45092306,0.47078007,0.5357132,0.5305958,0.4965248,0.53409004
6333,0.53409004,0.53155136,0.5321121,0.5404949,0.53471565,0.47719544,0.45138842,0.4691347,0.5357132,0.5304966,0.47972298,0.5337105
6334,0.5337105,0.5338249,0.5319252,0.54200363,0.5343704,0.4673764,0.45163843,0.46787438,0.53523254,0.5304966,0.47740364,0.533144
6335,0.533144,0.53325653,0.531168,0.542572,0.535099,0.45183283,0.45158172,0.4668534,0.53523254,0.5304966,0.47180557,0.53352165
6336,0.53352165,0.5328789,0.5324898,0.5412502,0.5356369,0.46586317,0.45196623,0.46612275,0.5350399,0.5304966,0.47006607,0.5325756
6337,0.5325756,0.5342045,0.5321121,0.5412502,0.53575134,0.43631637,0.45173746,0.465487,0.5328331,0.5304966,0.47026062,0.53087044
6338,0.53087044,0.53211975,0.5307903,0.54068375,0.535099,0.38599014,0.45048353,0.4646976,0.5328331,0.5304966,0.4689083,0.53219604
