<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
2023.01.25,4:15:00,1.08976,1.08984,1.08971,1.0898,96,0,1
2023.01.25,4:20:00,1.0898,1.08984,1.08969,1.08981,59,0,1
2023.01.25,4:25:00,1.08981,1.08998,1.08977,1.08995,52,0,0
2023.01.25,4:30:00,1.08995,1.09014,1.08995,1.09005,118,0,0
2023.01.25,4:35:00,1.09004,1.09015,1.08991,1.08999,214,0,1
2023.01.25,4:40:00,1.08999,1.08999,1.08968,1.08983,166,0,1
2023.01.25,4:45:00,1.08982,1.08988,1.08958,1.08958,128,0,1
2023.01.25,4:50:00,1.08959,1.08975,1.08958,1.08971,79,0,0
2023.01.25,4:55:00,1.08967,1.08976,1.08965,1.08966,95,0,0
2023.01.25,5:00:00,1.08963,1.08966,1.08947,1.08953,131,0,1
2023.01.25,5:05:00,1.08953,1.08953,1.08926,1.08941,81,0,0
2023.01.25,5:10:00,1.08941,1.08972,1.08937,1.08971,133,0,1
2023.01.25,5:15:00,1.0897,1.08979,1.08952,1.08979,124,0,1
2023.01.25,5:20:00,1.08979,1.08986,1.08968,1.08975,122,0,1
2023.01.25,5:25:00,1.08975,1.08985,1.08972,1.08976,158,0,1
2023.01.25,5:30:00,1.08977,1.08994,1.08965,1.08986,161,0,0
2023.01.25,5:35:00,1.08986,1.08991,1.08967,1.08967,81,0,1
2023.01.25,5:40:00,1.08967,1.08975,1.08955,1.08961,96,0,0
2023.01.25,5:45:00,1.08958,1.08976,1.08955,1.08971,79,0,1
2023.01.25,5:50:00,1.08972,1.08973,1.08946,1.08951,132,0,1
2023.01.25,5:55:00,1.08951,1.08972,1.0895,1.08972,94,0,1
2023.01.25,6:00:00,1.08973,1.09004,1.08973,1.09002,101,0,1
2023.01.25,6:05:00,1.09002,1.09028,1.09002,1.09026,113,0,1
2023.01.25,6:10:00,1.09026,1.09026,1.08995,1.09,82,0,0
2023.01.25,6:15:00,1.09001,1.09002,1.08975,1.08979,95,0,1
2023.01.25,6:20:00,1.08978,1.08981,1.08971,1.08981,66,0,0
2023.01.25,6:25:00,1.08985,1.08995,1.0898,1.08994,70,0,1
2023.01.25,6:30:00,1.08993,1.0901,1.08992,1.08992,136,0,1
2023.01.25,6:35:00,1.08995,1.08998,1.08982,1.08997,137,0,1
2023.01.25,6:40:00,1.08997,1.08998,1.08985,1.08992,100,0,1
2023.01.25,6:45:00,1.08989,1.08993,1.08971,1.08972,81,0,1
2023.01.25,6:50:00,1.08972,1.08992,1.08972,1.0899,91,0,1
2023.01.25,6:55:00,1.08991,1.08997,1.08978,1.08987,159,0,1
2023.01.25,7:00:00,1.08988,1.08989,1.08965,1.08977,102,0,0
2023.01.25,7:05:00,1.08977,1.08983,1.08973,1.08982,89,0,0
2023.01.25,7:10:00,1.08982,1.08983,1.08957,1.08967,105,0,0
2023.01.25,7:15:00,1.08968,1.08994,1.08966,1.08989,87,0,0
2023.01.25,7:20:00,1.08988,1.08996,1.08972,1.08977,103,0,0
2023.01.25,7:25:00,1.08977,1.08994,1.08977,1.08982,113,0,0
2023.01.25,7:30:00,1.08985,1.08987,1.08946,1.08953,100,0,0
2023.01.25,7:35:00,1.08953,1.08953,1.08934,1.08936,123,0,0
2023.01.25,7:40:00,1.08935,1.08942,1.08929,1.08935,94,0,0
2023.01.25,7:45:00,1.08937,1.08947,1.08932,1.08943,133,0,0
2023.01.25,7:50:00,1.08942,1.08942,1.08925,1.08928,69,0,0
2023.01.25,7:55:00,1.08925,1.08982,1.08919,1.08976,185,0,0
2023.01.25,8:00:00,1.08977,1.08977,1.08956,1.08963,117,0,0
2023.01.25,8:05:00,1.08963,1.08986,1.08959,1.08969,171,0,0
2023.01.25,8:10:00,1.08971,1.08982,1.08963,1.08978,137,0,0
2023.01.25,8:15:00,1.08976,1.09013,1.08976,1.09008,141,0,0
2023.01.25,8:20:00,1.09008,1.09113,1.09008,1.09108,438,0,0
2023.01.25,8:25:00,1.09108,1.0911,1.09051,1.09068,237,0,0
2023.01.25,8:30:00,1.09069,1.09082,1.09057,1.09068,185,0,0
2023.01.25,8:35:00,1.09067,1.09073,1.09043,1.09047,207,0,0
2023.01.25,8:40:00,1.0905,1.09058,1.09034,1.09055,222,0,0
2023.01.25,8:45:00,1.09053,1.09055,1.09012,1.09019,138,0,0
2023.01.25,8:50:00,1.09022,1.09029,1.08991,1.09027,246,0,0
2023.01.25,8:55:00,1.09028,1.09085,1.09026,1.09063,325,0,0
